Nº,Building,Location,Address,Telephone,Contacts,Year of construction,Lease  cost (R$/m².month),Azimuth angle of long axis of building,Solar orientation (long axis),Shape,Ratio between width and length,Total floor area (m²),Office unit area (m²),Number of floors,Exterior wall color,Exterior wall absorptance,Roof color,Glazing type,Exterior solar shading devices,Room depth (m),Ceiling height (m),Plenum height (m),Spandrel height (m),Exterior wall,WWR (%),Exterior solar shading devices dimension,Natural ventilation strategy (cross or single sided),Window frame type,Window opening effective area (%),Window geometry (length x height) (m) ,Start height of opening (m),Control system,System type,Location
1,Pennsylvania,Paulista,"Av. Brigadeiro Luiz Antonio, 2503",Azzuri (11) 3661-7031,"FFX
Tismo
Lecom
Telefonica
Takara
Slikland",2014,80,43,NW-SE,Rectangular,0.9,212,25.2,11,White,0.2,Gray,Laminated glass,Balcony (part),"Side - 3.78
Front - 8.00",2.57 (Floor-Ceiling),,1.14,0.22,"Front - 46.32
Side - 18.68
TOTAL -  27.55","10.83
(0.13 m)
96.44
(2.17 m)","single sided without Balcony
cross with Balcony (adjacent facades)","Top hung
Sliding (Balcony)","100 (3 frames)
50 (1 frame)","0.80 x 1.20
2.00 x 2.25",1.14,Manual,Split,Balcony
2,Centro Executivo Jardim Paulista,Paulista,"Av. Nove de Julho, 3384","Construtora Atlantica (11) 3146-1212
Luiz (11) 2359-6280
(11) 3889-2400 - Vanessa
vanessa@anauate.com.br","RAS Arquitetura 11 2305-1460
topou",2011,60,134,NE-SW,Rectangular,0.7,151,30.3,11,Green/ Beige,0.7/ 0.4,Gray,Clear glass,No,Front - 5.2,2.75 (Floor-Ceiling),No,0.9,0.27,"Front - 0
Side - 39.86
TOTAL -  24.1","12.66
(0.19 m)",single sided,Top hung,80 (4 frames),1.90 x 1.50,1.2,Manual,Split,"Facade shaft
(grill)"
3,Michelangelo Office,Paulista,"Rua José Maria Lisboa, 860","(11) 3885-0659/ 98055-1880 Marcelo (zelador)
Administradora Ricardo Chaim
prop Tatiana - 99946-6710","BSD Consult
BKB Partners
Shawin design
Projeto integrado 11 3884-9344 daniela.lima@projetointegrado.com.br",2005,59,131,NE-SW,Rectangular,0.4,148,"37, 74, 148",14,Brown/ Beige,0.7/ 0.4,Gray,Clear glass,No,"Side - 4
Front - 7.5",2.60 (Floor-Floor),0.5,1,0.24,"Front - 28.81
Side - 7.68
TOTAL -  15.03","17.27
(0.19 m)",cross (adjacent facades),Top hung,100 (4 frames),1.10 x 1.10,1,Manual,Split,Facade
4,Atlântico,Paulista,"R. Batatais, 460","(11) 3887-3368
99435-4380",Brunete Fracaroli,2003,-,44,NW-SE,Rectangular,0.9,152,38,11,Gray/ Blue tiles,0.7,Gray,Laminated glass,No,"Side - 6.2
Front - 6.15",2.88 (Floor-Floor),0.28,0.95,"10 cm pedra
6 cm astilho
11 cm parede","Front - 41.15
Side - 31.38
TOTAL -  36.60","8.13
(0.1 m)",cross (adjacent facades),Top hung,100 (2 frames),0.83 x 1.23,0.95,Manual,Split,Facade (Technical balcony)
5,Gardens Office,Paulista,"Rua Batatais, 391","(11) 3051-3363
(11) 3171-2299 Vert
96262-3684 Fernando (gerente predial) - zelador Franquismar",Fernanda Duarte (11) 3885-4727 (não ocupa mais o espaço),1998,81,46,NW-SE,Rectangular,0.5,116,38.5,14,White,0.2,Gray,Clear glass,Projeção de Balcony,"Side - 5.85
Front - 4.70",2.50 (Floor-Ceiling),,1.07,"0.24
0.05","Front - 26.26
Side -  24.51
TOTAL -  25.48","33.33
(0.4 m)",cross (adjacent facades),Top hung,100 (4 frames),0.80 x 1.20,1.07,Manual,Split,Facade
6,Fellici Amorizze Empresarial,Paulista,"Rua Cincinato Braga, 321",,,2003,79,130,NE-SW,Rectangular,0.2,180,90,12,Brown,0.7,Gray,Laminated glass,No,"Side - 4.20
Front - 5.76
Front - 6.55","2.45 (Floor-Ceiling)
2.76 (Floor-Floor)",0.31,1.1,0.26,"Front - 15.625
Front - 13.740
Side - 67.347
TOTAL - 28.035","14.286
(0.15 m)",cross (Facades opostas),Top hung,100 (4 frames),1.05 x 1.05,1.1,Manual,Split,Facade
7,Artes Médicas,Paulista,"R. Carlos Sampaio, 304","(11) 3283-3347
Douglas (zelador) -
Cleide (cleide.fortunatti@condovel.com.br) - 5033-9100",,1997,28,132,NE-SW,Rectangular,0.4,160,80,11,Yellow,0.3,Gray,Clear glass,Vertical fins,3 (Facade Unica),2.60 (Floor-Ceiling),0.15,1,0.3,Front - 41.026,"8.125
(0.13 m)",single sided,Top hung,"73,125 (2 frames)",1.00 x 1.60,1.43,Manual,Split/ Self contained window unit,Facade
8,Bristol,Paulista,"Al. Casa Branca, 851","(11) 3085-3724
Valnes (zelador) 
edificio.bristol@uol.com.br - Helena Novaes","Transitur viagens e turismo
Arco W comunicação & design (11) 3062-0374 (diretora Regina / atend Roseli atendimento@arcow.com.br)
Jayme Lago arq. - Marta vai passar meu contato ao Jayme e ele vai retornar ((11) 3062-2885)
MMBB (11) 3064-3619 11 3237 2311 Mônica (m.arqui@terra.com.br)",1995,68,134,NE-SW,Rectangular,0.4,185,"32.5, 37",13,Red/ Blue/ exposed concrete,0.7,Gray,Clear glass,No,"Side - 4
Front - 7.3",2.60 (Floor-Ceiling),0.15,0.6,0.3,"Front - 23.798
Side - 26.080
TOTAL - 25.272",Não,"cross (adjacent facades)
single sided",Top hung,"73,333 (4,5 frames)",1.10 x 1.50,1,Manual,Self contained window unit,Facade
9,L'ufficio,Jardim Paulista,"Al. Franca, 267","(11) 3283-5825
(11) 3145-2711 BBZ administradora
rl@bbz.com.br - Robson (gerente)
Agnaldo zelador",Shisha Kessin arq (11) 3884-9862 11 32855237 skessin@terra.com.br,1999,60,131,NE-SW,Rectangular,0.3,240,60,9,Light Beige,0.3,Gray,Laminated glass,No,"Side - 2.9
Front - 5.27",2.45 (Floor-Ceiling),0.2,0.4 / 0.96,0.24,"Front - 71.099
Side - 94.750
TOTAL - 79.494","6.415 / 13.492
(0.17 m)",cross (adjacent facades),Top hung,"69.8 (3 frames)
100 (1 frame)",1.70 x 1.80 / 1.16 x 1.26,1.2 / 0.96,Manual,Split,Restroom
10,Yale,Bela Vista,"Al. Joaquim Eugênio de Lima, 187","(11) 3288-8239
3062-4922 - Luis Carlos",,1998,47,139,NW-SE,Rectangular,0.3,124,31,12,Light beige / Dark blue tiles,0.3/ 0.7,Gray,Laminated glass,No,"Side - 3.4
Front - 8.55",2.77 (Floor-Floor),0.37,1,"15 cm bloco
17 cm shadow box","Front - 27.382
Side - 32.667
TOTAL - 31.163",Não,cross (adjacent facades),Top hung,100 (4 frames),0.84 x 1.33,1,Manual,Split,"Facade shaft
(grill)"
