EHF
Parameter S1 S1_conf ST ST_conf
area 0.024162 0.013629 0.056027 0.007159
ratio -0.001695 0.003418 0.003982 0.000778
zone_height 0.001237 0.003863 0.003890 0.000481
abs 0.000875 0.005873 0.011501 0.003202
shading -0.000071 0.000264 0.000023 0.000004
azimuth 0.000355 0.006781 0.011322 0.001186
wall_u 0.002819 0.005373 0.013342 0.002637
wall_ct -0.001753 0.002865 0.003712 0.001488
wwr 0.009226 0.008063 0.035967 0.004748
open_fac 0.098738 0.025242 0.206643 0.021293
thermal_loads 0.000000 0.000000 0.000000 0.000000
people 0.441100 0.052799 0.655626 0.053491
glass 0.002803 0.005368 0.007502 0.001405
floor_height 0.000000 0.000000 0.000000 0.000000
bldg_ratio 0.000027 0.000456 0.000075 0.000017
room_type 0.028866 0.018017 0.113530 0.012777
ground 0.083437 0.028204 0.234105 0.035092
roof 0.001267 0.011399 0.041317 0.005619

Parameter_1 Parameter_2 S2 S2_conf
area ratio 0.006896 0.020232
area zone_height 0.006500 0.020283
area abs 0.005440 0.020421
area shading 0.006745 0.020238
area azimuth 0.005975 0.020259
area wall_u 0.007185 0.020855
area wall_ct 0.006559 0.020300
area wwr 0.005894 0.020441
area open_fac 0.006623 0.021181
area thermal_loads 0.006738 0.020237
area people 0.009984 0.023008
area glass 0.007790 0.020480
area floor_height 0.006738 0.020237
area bldg_ratio 0.006780 0.020231
area room_type 0.007716 0.019668
area ground 0.008427 0.021206
area roof 0.003529 0.020773
ratio zone_height 0.002679 0.005088
ratio abs 0.002962 0.005361
ratio shading 0.002710 0.005056
ratio azimuth 0.003167 0.004987
ratio wall_u 0.002568 0.005028
ratio wall_ct 0.003033 0.005126
ratio wwr 0.002302 0.004944
ratio open_fac 0.001796 0.005209
ratio thermal_loads 0.002719 0.005059
ratio people 0.000944 0.005793
ratio glass 0.002985 0.005004
ratio floor_height 0.002719 0.005059
ratio bldg_ratio 0.002729 0.005064
ratio room_type 0.005039 0.004847
ratio ground 0.001710 0.005536
ratio roof 0.003450 0.005106
zone_height abs 0.001005 0.005124
zone_height shading 0.001148 0.005087
zone_height azimuth 0.001217 0.005129
zone_height wall_u 0.001311 0.005166
zone_height wall_ct 0.001211 0.005089
zone_height wwr 0.000730 0.005005
zone_height open_fac 0.002586 0.005638
zone_height thermal_loads 0.001147 0.005088
zone_height people 0.001643 0.006423
zone_height glass 0.000912 0.005137
zone_height floor_height 0.001147 0.005088
zone_height bldg_ratio 0.001140 0.005096
zone_height room_type 0.002222 0.005389
zone_height ground 0.000909 0.005257
zone_height roof 0.001167 0.005172
abs shading -0.002202 0.009039
